,GDP (100 million yaun),,,,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,world banks,Chinese Buearu of national statistics,Macro Trends
1978,3678,0.114872213,,,World bank,11.32597799,7.59132468,7.834145016,5.112761091,9.017113914,10.77020251,15.19154002,13.43067752,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786084,14.22452959,13.8837293,13.03680663,10.95395434,9.922556752,9.236779892,7.845951788,7.661651501,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.65067892,9.398725632,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,,,1978,11.32597799,0.114872213,0.1133
1979,4100.5,0.118790391,,,Chinese national bureau of statistics,0.114872213,0.118790391,0.075900253,0.088658374,0.120500986,0.208872428,0.250106478,0.140379606,0.173319712,0.246891068,0.131702722,0.098558182,0.165989329,0.23534464,0.312262503,0.363418477,0.261164739,0.170748567,0.110026513,0.068751176,0.063018587,0.107279461,0.105534398,0.097907239,0.129025102,0.177687706,0.157431219,0.171470151,0.230833696,0.181983344,0.091694895,0.182491736,0.183978037,0.1037828,0.100975157,0.081484652,0.069723456,0.078816997,0.109036312,0.096929373,-1,,1979,7.59132468,0.118790391,0.0759
1980,4587.6,0.075900253,,,macrotrends,11.33%,7.59%,7.83%,5.11%,9.02%,10.77%,15.19%,13.43%,8.95%,11.66%,11.22%,4.21%,3.92%,9.26%,14.22%,13.88%,13.04%,10.95%,9.92%,9.24%,7.85%,7.66%,8.49%,8.34%,9.13%,10.04%,10.11%,11.39%,12.72%,14.23%,9.65%,9.40%,10.64%,9.55%,7.86%,7.77%,7.43%,7.04%,6.85%,6.95%,,,1980,7.834145016,0.075900253,0.0783
1981,4935.8,0.088658374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,5.112761091,0.088658374,0.0511
1982,5373.4,0.120500986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,9.017113914,0.120500986,0.0902
1983,6020.9,0.208872428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,10.77020251,0.208872428,0.1077
1984,7278.5,0.250106478,,6.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,15.19154002,0.250106478,0.1519
1985,9098.9,0.140379606,,6.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,13.43067752,0.140379606,0.1343
1986,10376.2,0.173319712,,6.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,8.949961764,0.173319712,0.0895
1987,12174.6,0.246891068,,7.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987,11.65742779,0.246891068,0.1166
1988,15180.4,0.131702722,,7.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,11.22259498,0.131702722,0.1122
1989,17179.7,0.098558182,,7.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,4.206334355,0.098558182,0.0421
1990,18872.9,0.165989329,,7.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,3.920251368,0.165989329,0.0392
1991,22005.6,0.23534464,,9.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,9.262786084,0.23534464,0.0926
1992,27184.5,0.312262503,,10.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,14.22452959,0.312262503,0.1422
1993,35673.2,0.363418477,,9.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,13.8837293,0.363418477,0.1388
1994,48637.5,0.261164739,,9.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,13.03680663,0.261164739,0.1304
1995,61339.9,0.170748567,,14.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,10.95395434,0.170748567,0.1095
1996,71813.6,0.110026513,,12.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,9.922556752,0.110026513,0.0992
1997,79715,0.068751176,,11.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,9.236779892,0.068751176,0.0924
1998,85195.5,0.063018587,,10.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,7.845951788,0.063018587,0.0785
1999,90564.4,0.107279461,,10.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,7.661651501,0.107279461,0.0766
2000,100280.1,0.105534398,,9.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,8.490093406,0.105534398,0.0849
2001,110863.1,0.097907239,,8.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,8.335733478,0.097907239,0.0834
2002,121717.4,0.129025102,,8.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,9.13363079,0.129025102,0.0913
2003,137422,0.177687706,,7.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,10.03803048,0.177687706,0.1004
2004,161840.2,0.157431219,,7.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,10.11362138,0.157431219,0.1011
2005,187318.9,0.171470151,,9.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,11.39459181,0.171470151,0.1139
2006,219438.5,0.230833696,,9.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,12.72095567,0.230833696,0.1272
2007,270092.3,0.181983344,,10.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,14.23086093,0.181983344,0.1423
2008,319244.6,0.091694895,,13.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,9.65067892,0.091694895,0.0965
2009,348517.7,0.182491736,,13.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,9.398725632,0.182491736,0.094
2010,412119.3,0.183978037,,14.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,10.63587106,0.183978037,0.1064
2011,487940.2,0.1037828,,9.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,9.550832179,0.1037828,0.0955
2012,538580,0.100975157,,3.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,7.863736449,0.100975157,0.0786
2013,592963.2,0.081484652,,4.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,7.766150098,0.081484652,0.0777
2014,641280.6,0.069723456,,11.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,7.425763656,0.069723456,0.0743
2015,685992.9,0.078816997,,11.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7.041328879,0.078816997,0.0704
2016,740060.8,0.109036312,,8.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,6.848762205,0.109036312,0.0685
2017,820754.3,0.096929373,,13.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,6.947200793,0.096929373,0.0695
2018,900309.5,-1,,15.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
